season,geography,week,target,q05,q25,q50,q75,q95
2026/2027,National,1,cases,0.0,25113.663846446627,63645.92961824351,77076.29679121787,1645609.996884195
2026/2027,National,1,hospitalizations,0.0,388.0646520770001,981.475408532,1239.8372118582502,25174.99564139447
2026/2027,National,1,deaths,0.0,35.90119485550001,102.39834175,150.5937481,2241.3563759500003
2026/2027,National,2,cases,0.0,0.0,15793.682867012,29224.050039986378,1597757.7501329633
2026/2027,National,2,hospitalizations,0.0,0.0,262.008133407,520.36993673325,24455.52836626947
2026/2027,National,2,deaths,0.0,0.0,15.960114214,64.155520564,2154.918148414
2026/2027,National,3,cases,0.0,0.0,17060.0258761465,30490.39304912088,1599024.0931420978
2026/2027,National,3,hospitalizations,0.0,0.0,236.5894391545,494.95124248075,24430.109672016973
2026/2027,National,3,deaths,0.0,0.027795537,25.210046942,73.405453292,2164.168081142
2026/2027,National,4,cases,0.0,0.0,17714.022684973,31144.38985794738,1599678.0899509245
2026/2027,National,4,hospitalizations,0.0,0.0,227.0718839195,485.4336872457501,24420.59211678197
2026/2027,National,4,deaths,0.0,0.0,25.028014457,73.22342080700001,2163.986048657
2026/2027,National,5,cases,0.0,0.0,16238.7883681335,29669.15554110788,1598202.855634085
2026/2027,National,5,hospitalizations,0.0,0.0,277.606222388,535.9680257142501,24471.126455250476
2026/2027,National,5,deaths,0.0,0.0,20.274685326,68.47009167600001,2159.232719526
2026/2027,National,6,cases,0.0,0.0,18024.752796187,31455.119969161377,1599988.8200621384
2026/2027,National,6,hospitalizations,0.0,0.1200610750000027,245.4746851195,503.8364884457501,24438.99491798197
2026/2027,National,6,deaths,0.0,0.5084629275000004,20.4500484025,68.6454547525,2159.4080826025
2026/2027,National,7,cases,0.0,0.0,19048.320870501,32478.688043475377,1601012.3881364523
2026/2027,National,7,hospitalizations,0.0,0.0,305.060393235,563.4221965612501,24498.58062609747
2026/2027,National,7,deaths,0.0,0.0,25.551315293,73.746721643,2164.509349493
2026/2027,National,8,cases,0.0,0.0,20964.9490312855,34395.31620425988,1602929.0162972368
2026/2027,National,8,hospitalizations,0.0,0.0,306.590372973,564.95217629925,24500.110605835474
2026/2027,National,8,deaths,0.0,0.39153609,28.735023351,76.93042970100001,2167.693057551
2026/2027,National,9,cases,0.0,138.04556616324996,28344.321195805,41774.68836877938,1610308.3884617563
2026/2027,National,9,hospitalizations,0.0,40.48458204250004,495.538152988,753.8999563142501,24689.058385850472
2026/2027,National,9,deaths,0.0,0.0,31.4170392205,79.6124455705,2170.3750734205
2026/2027,National,10,cases,0.0,15632.069306798005,49551.5862483395,62981.95342131388,1631515.653514291
