season,geography,week,target,predicted_value,predicted_per_100k,cases_q05,cases_q25,cases_q50,cases_q75,cases_q95
2026/2027,Abia,1,cases,1233.1145706105,25.467350000000003,0.0,8.135712500000004,25.467350000000003,31.3193125,714.7704999999995
2026/2027,Abia,2,cases,238.2163326855,4.91985,0.0,0.0,4.91985,10.7718125,694.2229999999995
2026/2027,Abia,3,cases,347.2956245895,7.17265,0.0,0.0,7.17265,13.0246125,696.4757999999995
2026/2027,Abia,4,cases,309.06122169,6.383,0.0,0.0,6.383,12.234962500000002,695.6861499999995
2026/2027,Abia,5,cases,234.001421304,4.8328,0.0,0.0,4.8328,10.6847625,694.1359499999995
2026/2027,Abia,6,cases,252.129655896,5.2072,0.0,0.0,5.2072,11.0591625,694.5103499999996
2026/2027,Abia,7,cases,288.308653992,5.954400000000001,0.0,0.0,5.954400000000001,11.806362500000002,695.2575499999995
2026/2027,Abia,8,cases,509.9897513325,10.53275,0.0,0.0,10.53275,16.3847125,699.8358999999995
2026/2027,Abia,9,cases,653.207162358,13.4906,0.0,0.0,13.4906,19.3425625,702.7937499999995
2026/2027,Abia,10,cases,1780.9465274594995,36.78165,0.0,19.4500125,36.78165,42.6336125,726.0847999999995
2026/2027,Abia,11,cases,3021.4523240595,62.40165,0.0,45.0700125,62.40165,68.2536125,751.7047999999995
2026/2027,Abia,12,cases,9285.757236825,191.7775,0.0,174.4458625,191.7775,197.6294625,881.0806499999995
2026/2027,Abia,13,cases,27052.344685183496,558.70845,273.78414999999995,541.3768124999999,558.70845,564.5604125,1248.0115999999994
2026/2027,Abia,14,cases,98446.38749697153,2033.2000500000004,1748.2757500000002,2015.8684125000004,2033.2000500000004,2039.0520125000005,2722.5032
2026/2027,Abia,15,cases,152000.6108934975,3139.24825,2854.32395,3121.9166125,3139.24825,3145.1002125,3828.5514
2026/2027,Abia,16,cases,131817.14822891698,2722.4019,2437.4776,2705.0702625,2722.4019,2728.2538625,3411.70505
2026/2027,Abia,17,cases,31587.6861705375,652.37625,367.45195,635.0446125000001,652.37625,658.2282125,1341.6793999999995
2026/2027,Abia,18,cases,15091.944133617,311.69190000000003,26.767600000000016,294.36026250000003,311.69190000000003,317.54386250000005,1000.9950499999997
2026/2027,Abia,19,cases,2218.9002718095003,45.82665,0.0,28.4950125,45.82665,51.6786125,735.1297999999995
2026/2027,Abia,20,cases,605.0419343655001,12.49585,0.0,0.0,12.49585,18.347812500000003,701.7989999999995
2026/2027,Abia,21,cases,707.364294813,14.6091,0.0,0.0,14.6091,20.4610625,703.9122499999995
2026/2027,Abia,22,cases,476.8030740105,9.84735,0.0,0.0,9.84735,15.6993125,699.1504999999995
2026/2027,Abia,23,cases,1149.269064651,23.7357,0.0,6.404062500000002,23.7357,29.5876625,713.0388499999995
2026/2027,Abia,24,cases,2471.5141220055,51.04385,0.0,33.7122125,51.04385,56.8958125,740.3469999999995
2026/2027,Abia,25,cases,6433.291144437001,132.8659,0.0,115.5342625,132.8659,138.71786250000002,822.1690499999995
2026/2027,Abia,26,cases,7591.391913119999,156.784,0.0,139.4523625,156.784,162.6359625,846.0871499999995
2026/2027,Abia,27,cases,15028.819722726004,310.38820000000004,25.463900000000024,293.05656250000004,310.38820000000004,316.24016250000005,999.6913499999996
2026/2027,Abia,28,cases,28994.297922250506,598.8153500000001,313.89105000000006,581.4837125000001,598.8153500000001,604.6673125000001,1288.1184999999996
2026/2027,Abia,29,cases,21574.158270126,445.5682,160.64389999999997,428.2365625,445.5682,451.4201625,1134.8713499999994
2026/2027,Abia,30,cases,18113.548978881,374.0967,89.17239999999998,356.7650625,374.0967,379.9486625,1063.3998499999996
2026/2027,Abia,31,cases,8753.898849933,180.7931,0.0,163.4614625,180.7931,186.6450625,870.0962499999995
2026/2027,Abia,32,cases,1414.806060714,29.219800000000003,0.0,11.888162500000004,29.219800000000003,35.071762500000006,718.5229499999995
2026/2027,Abia,33,cases,564.352666365,11.6555,0.0,0.0,11.6555,17.507462500000003,700.9586499999995
2026/2027,Abia,34,cases,317.80577074800004,6.563600000000001,0.0,0.0,6.563600000000001,12.415562500000002,695.8667499999995
2026/2027,Abia,35,cases,264.994698447,5.4729,0.0,0.0,5.4729,11.324862500000002,694.7760499999995
2026/2027,Abia,36,cases,224.05364941050004,4.627350000000001,0.0,0.0,4.627350000000001,10.479312500000002,693.9304999999995
2026/2027,Abia,37,cases,174.84982464450002,3.61115,0.0,0.0,3.61115,9.4631125,692.9142999999995
2026/2027,Abia,38,cases,281.49361921950003,5.813650000000001,0.0,0.0,5.813650000000001,11.665612500000002,695.1167999999996
2026/2027,Abia,39,cases,292.4364103995,6.03965,0.0,0.0,6.03965,11.8916125,695.3427999999996
2026/2027,Abia,40,cases,299.39670346200006,6.183400000000001,0.0,0.0,6.183400000000001,12.035362500000002,695.4865499999995
2026/2027,Abia,41,cases,392.64284175600005,8.109200000000001,0.0,0.0,8.109200000000001,13.961162500000002,697.4123499999995
2026/2027,Abia,42,cases,300.2077289145,6.200150000000001,0.0,0.0,6.200150000000001,12.052112500000002,695.5032999999995
2026/2027,Abia,43,cases,230.9921537295,4.77065,0.0,0.0,4.77065,10.6226125,694.0737999999996
2026/2027,Abia,44,cases,235.25790551250003,4.858750000000001,0.0,0.0,4.858750000000001,10.7107125,694.1618999999995
2026/2027,Abia,45,cases,289.7442900915,5.98405,0.0,0.0,5.98405,11.8360125,695.2871999999995
2026/2027,Abia,46,cases,284.97255526500004,5.8855,0.0,0.0,5.8855,11.7374625,695.1886499999995
2026/2027,Abia,47,cases,248.19799818,5.126,0.0,0.0,5.126,10.9779625,694.4291499999995
2026/2027,Abia,48,cases,337.26069772200003,6.965400000000001,0.0,0.0,6.965400000000001,12.817362500000002,696.2685499999995
2026/2027,Abia,49,cases,225.24718836,4.652,0.0,0.0,4.652,10.5039625,693.9551499999995
2026/2027,Abia,50,cases,327.3468194295,6.76065,0.0,0.0,6.76065,12.6126125,696.0637999999996
2026/2027,Abia,51,cases,214.0986146025,4.42175,0.0,0.0,4.42175,10.273712500000002,693.7248999999995
2026/2027,Abia,52,cases,241.7315833035,4.99245,0.0,0.0,4.99245,10.8444125,694.2955999999995
2026/2027,Adamawa,1,cases,1878.647737566,35.87295,0.0,18.541312500000004,35.87295,41.7249125,725.1760999999995
2026/2027,Adamawa,2,cases,372.63503494,7.115500000000001,0.0,0.0,7.115500000000001,12.967462500000002,696.4186499999995
2026/2027,Adamawa,3,cases,485.7007422600001,9.274500000000002,0.0,0.0,9.274500000000002,15.126462500000002,698.5776499999995
2026/2027,Adamawa,4,cases,356.12293789600005,6.800200000000001,0.0,0.0,6.800200000000001,12.652162500000005,696.1033499999995
2026/2027,Adamawa,5,cases,301.263289122,5.75265,0.0,0.0,5.75265,11.604612500000002,695.0557999999995
2026/2027,Adamawa,6,cases,289.948862968,5.5366,0.0,0.0,5.5366,11.3885625,694.8397499999995
2026/2027,Adamawa,7,cases,431.2102983200001,8.234,0.0,0.0,8.234,14.0859625,697.5371499999995
2026/2027,Adamawa,8,cases,473.46461325799993,9.04085,0.0,0.0,9.04085,14.8928125,698.3439999999995
