season,week,week_start,target,q05,q25,q50,q75,q95
2026/2027,1,2026-06-29,cases,0.0,25113.663846446627,63645.92961824351,77076.29679121787,1645609.996884195
2026/2027,1,2026-06-29,hospitalizations,0.0,388.0646520770001,981.4754085320001,1239.8372118582502,25174.99564139447
2026/2027,1,2026-06-29,deaths,0.0,35.90119485550001,102.39834175,150.5937481,2241.3563759500003
2026/2027,2,2026-07-06,cases,0.0,0.0,15793.682867012001,29224.050039986378,1597757.7501329633
2026/2027,2,2026-07-06,hospitalizations,0.0,0.0,262.008133407,520.36993673325,24455.52836626947
2026/2027,2,2026-07-06,deaths,0.0,0.0,15.960114214,64.155520564,2154.918148414
2026/2027,3,2026-07-13,cases,0.0,0.0,17060.0258761465,30490.393049120878,1599024.0931420978
2026/2027,3,2026-07-13,hospitalizations,0.0,0.0,236.5894391545,494.95124248075,24430.109672016973
2026/2027,3,2026-07-13,deaths,0.0,0.027795537000000096,25.210046942,73.405453292,2164.168081142
2026/2027,4,2026-07-20,cases,0.0,0.0,17714.022684973,31144.38985794738,1599678.0899509243
2026/2027,4,2026-07-20,hospitalizations,0.0,0.0,227.0718839195,485.43368724575004,24420.592116781972
2026/2027,4,2026-07-20,deaths,0.0,0.0,25.028014457,73.22342080700001,2163.986048657
2026/2027,5,2026-07-27,cases,0.0,0.0,16238.7883681335,29669.155541107877,1598202.855634085
2026/2027,5,2026-07-27,hospitalizations,0.0,0.0,277.606222388,535.9680257142501,24471.126455250473
2026/2027,5,2026-07-27,deaths,0.0,0.0,20.274685326,68.47009167600001,2159.232719526
2026/2027,6,2026-08-03,cases,0.0,0.0,18024.752796187,31455.119969161377,1599988.8200621384
2026/2027,6,2026-08-03,hospitalizations,0.0,0.12006107500000276,245.4746851195,503.83648844575004,24438.99491798197
2026/2027,6,2026-08-03,deaths,0.0,0.5084629275000004,20.450048402500002,68.6454547525,2159.4080826025
2026/2027,7,2026-08-10,cases,0.0,0.0,19048.320870501,32478.688043475377,1601012.3881364523
2026/2027,7,2026-08-10,hospitalizations,0.0,0.0,305.060393235,563.4221965612501,24498.58062609747
2026/2027,7,2026-08-10,deaths,0.0,0.0,25.551315293000002,73.746721643,2164.509349493
2026/2027,8,2026-08-17,cases,0.0,0.0,20964.9490312855,34395.31620425988,1602929.0162972368
2026/2027,8,2026-08-17,hospitalizations,0.0,0.0,306.590372973,564.95217629925,24500.110605835474
2026/2027,8,2026-08-17,deaths,0.0,0.39153609000000006,28.735023351000002,76.93042970100001,2167.693057551
2026/2027,9,2026-08-24,cases,0.0,138.04556616324996,28344.321195805,41774.68836877938,1610308.3884617563
2026/2027,9,2026-08-24,hospitalizations,0.0,40.48458204250004,495.53815298800004,753.8999563142501,24689.058385850472
2026/2027,9,2026-08-24,deaths,0.0,0.0,31.4170392205,79.6124455705,2170.3750734205
2026/2027,10,2026-08-31,cases,0.0,15632.069306798003,49551.5862483395,62981.953421313876,1631515.653514291
2026/2027,10,2026-08-31,hospitalizations,0.0,349.1871188360001,856.6350156860001,1114.99681901225,25050.15524854847
2026/2027,10,2026-08-31,deaths,0.0,12.810101986500005,70.5904540515,118.78586040150002,2209.5484882515
2026/2027,11,2026-09-07,cases,0.0,79908.81845105776,116808.631638227,130238.99881120138,1698772.6989041783
2026/2027,11,2026-09-07,hospitalizations,0.0,1436.5770527195002,1995.6684920120001,2254.03029533825,26189.18872487447
2026/2027,11,2026-09-07,deaths,0.0,77.4483225805,144.6514726965,192.8468790465,2283.6095068965
2026/2027,12,2026-09-14,cases,22992.531591022496,310343.9505773518,350028.137772031,363458.5049450054,1931992.2050379824
2026/2027,12,2026-09-14,hospitalizations,381.39689456714984,4733.022687514501,5331.1661958135,5589.52799913975,29524.686428675974
2026/2027,12,2026-09-14,deaths,20.00593721929998,324.72361029350003,403.67065521850003,451.8660615685,2542.6286894185
2026/2027,13,2026-09-21,cases,520964.954168455,906723.7091039619,946500.1525336476,959930.5197066219,2528464.2197995987
2026/2027,13,2026-09-21,hospitalizations,9214.17668029285,15228.140823328002,15836.320951078002,16094.68275440425,40029.84118394047
2026/2027,13,2026-09-21,deaths,529.4952920016999,1092.315941692,1177.231657642,1225.427063992,3316.1896918420002
2026/2027,14,2026-09-28,cases,1730003.3896588194,2218115.472402315,2257891.915832001,2271322.283004975,3839855.983097952
2026/2027,14,2026-09-28,hospitalizations,27436.882511632954,34941.456389727005,35549.636517477,35807.99832080325,59743.156750339476
2026/2027,14,2026-09-28,deaths,1546.9896958987,2203.4714330745,2288.3871490245,2336.5825553745,4427.3451832245
2026/2027,15,2026-10-05,cases,3351662.3862857907,3965792.7246413105,4005569.168070996,4018999.53524397,5587533.235336947
2026/2027,15,2026-10-05,hospitalizations,45467.1155860841,54517.200387023506,55125.380514773504,55383.74231809976,79318.90074763597
2026/2027,15,2026-10-05,deaths,3534.1051712684,4335.582121408501,4420.4978373585,4468.6932437085,6559.4558715585
2026/2027,16,2026-10-12,cases,3311793.398601682,3925923.7369572017,3965700.1803868874,3979130.5475598616,5547664.247652839
2026/2027,16,2026-10-12,hospitalizations,52734.474457736374,62276.1264187805,62884.306546530504,63142.66834985675,87077.82677939297
2026/2027,16,2026-10-12,deaths,4639.9367887845,5452.167086943001,5537.082802893,5585.278209243,7676.040837093
2026/2027,17,2026-10-19,cases,2727642.119209628,3341772.4575651474,3381548.900994833,3394979.2681678073,4963512.968260785
2026/2027,17,2026-10-19,hospitalizations,40086.45558464838,49628.1075456925,50236.2876734425,50494.649476768755,74429.80790630498
2026/2027,17,2026-10-19,deaths,3846.68215194,4658.9124500985,4743.8281660485,4792.0235723985,6882.7862002485
2026/2027,18,2026-10-26,cases,1719010.9687711871,2333141.3071267065,2372917.750556392,2386348.1177293663,3954881.8178223437
2026/2027,18,2026-10-26,hospitalizations,20678.035046948375,30219.6870079925,30827.8671357425,31086.22893906875,55021.38736860497
2026/2027,18,2026-10-26,deaths,2679.6869767907,3456.7449795470006,3541.6606954970002,3589.856101847,5680.618729697
2026/2027,19,2026-11-02,cases,873168.3894308751,1256013.7753686744,1295790.21879836,1309220.5859713345,2877754.2860643114
2026/2027,19,2026-11-02,hospitalizations,8768.1107339625,14842.483892002501,15450.664019752501,15709.025823078751,39644.18425261497
2026/2027,19,2026-11-02,deaths,1309.821614751,1791.4330950375002,1875.7658809855002,1923.9612873355,4014.7239151855
2026/2027,20,2026-11-09,cases,152308.81995210703,373318.7834283044,409484.6542403455,422915.0214133199,1991448.721506297
2026/2027,20,2026-11-09,hospitalizations,1781.373952110925,5169.547915034001,5722.735269847501,5981.097073173751,29916.255502709973
2026/2027,20,2026-11-09,deaths,417.97048983829995,709.405103731,772.9993743560001,821.1947807060001,2911.9574085560002
2026/2027,21,2026-11-16,cases,0.0,79922.79800314238,112374.0080136525,125804.37518662689,1694338.075279604
2026/2027,21,2026-11-16,hospitalizations,0.0,1116.5934893390001,1606.003321885,1864.3651252112502,25799.523554747473
2026/2027,21,2026-11-16,deaths,0.0,132.31118705350002,181.4135363095,229.6089426595,2320.3715705095
2026/2027,22,2026-11-23,cases,0.0,28729.517788833004,64083.509529023,77513.87670199737,1646047.5767949745
2026/2027,22,2026-11-23,hospitalizations,0.0,284.8436539810001,844.9231632850001,1103.2849666112502,25038.44339614747
2026/2027,22,2026-11-23,deaths,0.0,36.57572949950001,94.6376062235,142.8330125735,2233.5956404235003
2026/2027,23,2026-11-30,cases,0.0,39052.60727993338,78829.050709619,92259.41788259338,1660793.1179755703
2026/2027,23,2026-11-30,hospitalizations,0.0,592.6736404665002,1200.6418984165,1459.00370174275,25394.162131278972
2026/2027,23,2026-11-30,deaths,0.0,47.978246814,113.147163391,161.342569741,2252.105197591
2026/2027,24,2026-12-07,cases,0.0,110369.19412156288,150145.6375512485,163576.00472422288,1732109.7048171998
2026/2027,24,2026-12-07,hospitalizations,0.0,1766.8228648055,2375.0029925555,2633.36479588175,26568.523225417972
2026/2027,24,2026-12-07,deaths,0.0,148.0457699135,229.733760697,277.929167047,2368.6917948970004
2026/2027,25,2026-12-14,cases,0.0,258420.1340796454,298196.57750933105,311626.9446823054,1880160.6447752824
2026/2027,25,2026-12-14,hospitalizations,0.0,3913.5402149145,4521.7203426645,4780.08214599075,28715.240575526972
2026/2027,25,2026-12-14,deaths,19.273518734299987,397.0420889845,481.50703363450003,529.7024399845001,2620.4650678345
2026/2027,26,2026-12-21,cases,71687.115219099,557673.2539850029,597449.6974146885,610880.0645876629,2179413.76468064
2026/2027,26,2026-12-21,hospitalizations,343.2838066885749,7997.1684863905,8605.348614140501,8863.710417466751,32798.868847002974
2026/2027,26,2026-12-21,deaths,253.4468963120999,846.2627037625,931.1784197125,979.3738260625,3070.1364539125
2026/2027,27,2026-12-28,cases,436153.57669855055,1034352.2420857995,1074128.685515485,1087559.0526884594,2656092.7527814363
2026/2027,27,2026-12-28,hospitalizations,6535.610107064001,16019.785834785502,16627.9659625355,16886.327765861748,40821.48619539797
2026/2027,27,2026-12-28,deaths,792.2049075115999,1557.1659505175,1642.0816664675,1690.2770728175,3781.0397006675003
2026/2027,28,2027-01-04,cases,959657.903439675,1573509.8590468555,1613286.3024765411,1626716.6696495153,3195250.369742492
2026/2027,28,2027-01-04,hospitalizations,14336.302795069627,23874.469231586503,24482.6493593365,24741.01116266275,48676.169592198974
