season,region,epi_week_of_season,cases,hospitalizations,deaths,population,cases_per_100k,hospitalizations_per_100k,deaths_per_100k
2026/2027,North,1,40452.293649404004,603.8828419895,73.058362603,127832161,31.644848473932946,0.47240290492272907,0.05715178561598439
2026/2027,North,2,9617.7044079925,141.697955032,12.6062259475,127832161,7.523696957600912,0.11084687446690353,0.009861544895184867
2026/2027,North,3,11618.4437341145,139.82402269850002,19.1390792775,127832161,9.088826820438793,0.10938094263970083,0.014972037652950262
2026/2027,North,4,12047.987780249001,129.055210519,17.6372036675,127832161,9.424848712562248,0.10095676198339477,0.013797156779270908
2026/2027,North,5,10601.817404786501,182.07452512,13.060596525,127832161,8.293544693175061,0.1424324862348216,0.01021698798082589
2026/2027,North,6,11279.791447864502,151.8737007525,16.869314653,127832161,8.823907348217716,0.11880711361243436,0.013196455822255872
2026/2027,North,7,11962.516161406002,169.73356850550002,18.974591058,127832161,9.357986337574316,0.13277845510684907,0.014843362507186278
2026/2027,North,8,10981.668039403501,151.726366215,19.603938344,127832161,8.590692634386038,0.11869185737617313,0.015335685629221272
2026/2027,North,9,13091.660397803002,209.1612418155,20.941082747000003,127832161,10.24128849531301,0.16362176793326683,0.01638170127390712
2026/2027,North,10,16706.2366418765,250.1527468235,25.2957651765,127832161,13.06888384831146,0.1956884283787552,0.01978826375038751
2026/2027,North,11,25878.554930866,406.1323165655,41.7854886855,127832161,20.244166044307114,0.31770746374654496,0.03268777462465021
2026/2027,North,12,52379.712113565,867.311520291,86.9184514935,127832161,40.975378733967425,0.6784767725948089,0.0679941970890252
2026/2027,North,13,135853.3064841105,2125.7502224925,274.95710909400003,127832161,106.27474762326086,1.6629228559255134,0.21509227955084012
2026/2027,North,14,448407.9679349105,6305.577218600501,595.137404061,127832161,350.77868075382884,4.9327001665883605,0.4655615608821633
2026/2027,North,15,978642.3646670516,13597.8546210695,1421.978555295,127832161,765.5681927078207,10.637271962467647,1.112379345049952
2026/2027,North,16,1723898.2347500324,23831.0311554155,2751.292928282,127832161,1348.5637896319631,18.642437841143515,2.152269747111605
2026/2027,North,17,2134912.4095457685,28608.323592934503,3558.7922587400003,127832161,1670.0902127014565,22.37959787985944,2.7839568938680466
2026/2027,North,18,1970734.6509069551,23779.092540497502,3110.3176304315,127832161,1541.6579329414255,18.601807522050343,2.4331260663202743
2026/2027,North,19,1230334.768502702,14234.624363322,1788.312265036,127832161,962.4610574350706,11.135401492056447,1.3989533236757221
2026/2027,North,20,395045.78211909306,5497.713576279501,755.240660743,127832161,309.0347366646591,4.300728027494975,0.5908064565559523
2026/2027,North,21,101934.647295046,1442.4401672345,171.6582732525,127832161,79.74100296641781,1.128385967936895,0.13428410496205256
2026/2027,North,22,50704.82667166801,584.6447920065,78.674776123,127832161,39.66515646376971,0.4573534448866119,0.061545369731330755
2026/2027,North,23,54770.154597924,772.847713991,92.323720492,127832161,42.84536392834977,0.6045800273931065,0.07222260796482977
2026/2027,North,24,101956.641435659,1645.3230975165,175.117778354,127832161,79.75820844932676,1.2870963649879155,0.13699039192023046
2026/2027,North,25,207880.586413573,2929.581121377,370.1870963095,127832161,162.61994226442985,2.291740277610577,0.28958838950512616
2026/2027,North,26,412251.675952509,5485.5981152635,721.0571106655,127832161,322.49449021870873,4.29125039610611,0.5640654941799036
2026/2027,North,27,758840.5006774915,10851.921201402001,1245.086525165,127832161,593.6225240512765,8.489194828992996,0.9740009989856935
2026/2027,North,28,1140533.528559921,15498.763607893501,1909.0757008945002,127832161,892.2117248412322,12.12430697146198,1.4934236313931204
2026/2027,North,29,1254029.8114473105,14843.388002977,1775.1700200110001,127832161,980.99711499621,11.611622526648047,1.3886724640530799
2026/2027,North,30,846496.0068033726,10565.322667718001,1416.7370266980001,127832161,662.1933011078273,8.264995745255375,1.1082790243200222
2026/2027,North,31,354503.99664167804,4963.157880149,614.5644614455,127832161,277.31988090358425,3.882558067800325,0.48075887682560575
2026/2027,North,32,94240.04212577801,1363.1259778170001,175.52956025650002,127832161,73.7216999138253,1.0663404006891506,0.1373125189180679
2026/2027,North,33,24526.222151873,336.5668051125,33.257553302000005,127832161,19.186268901354957,0.26328805089393736,0.026016577551247068
2026/2027,North,34,12371.9483149365,156.394121143,21.504327958,127832161,9.678275183767331,0.12234332887715166,0.01682231434544864
2026/2027,North,35,10303.718845286501,143.88699304600001,19.968039912500004,127832161,8.06034941808306,0.11255930582758436,0.015620513457877006
