season,state,region,zone,epi_week_of_season,population,cases_per_100k,cases_q05,cases_q25,cases_q50,cases_q75,cases_q95,cases,cases_q05_count,cases_q25_count,cases_q50_count,cases_q75_count,cases_q95_count
2026/2027,Abia,South,SE,1,4841943,25.467350000000003,0.0,8.135712500000004,25.467350000000003,31.319312500000002,714.7704999999995,1233.1145706105,0.0,393.92656189387515,1233.1145706105,1516.4632592418752,34608.78019081498
2026/2027,Abia,South,SE,2,4841943,4.91985,0.0,0.0,4.91985,10.771812500000001,694.2229999999995,238.21633268550002,0.0,0.0,238.21633268550002,521.5650213168751,33613.88195288998
2026/2027,Abia,South,SE,3,4841943,7.17265,0.0,0.0,7.17265,13.0246125,696.4757999999995,347.2956245895,0.0,0.0,347.2956245895,630.644313220875,33722.96124479397
2026/2027,Abia,South,SE,4,4841943,6.383,0.0,0.0,6.383,12.234962500000002,695.6861499999995,309.06122169,0.0,0.0,309.06122169,592.409910321375,33684.72684189448
2026/2027,Abia,South,SE,5,4841943,4.8328,0.0,0.0,4.8328,10.684762500000001,694.1359499999995,234.001421304,0.0,0.0,234.001421304,517.350109935375,33609.66704150848
2026/2027,Abia,South,SE,6,4841943,5.2072,0.0,0.0,5.2072,11.059162500000001,694.5103499999996,252.129655896,0.0,0.0,252.129655896,535.478344527375,33627.79527610048
2026/2027,Abia,South,SE,7,4841943,5.954400000000001,0.0,0.0,5.954400000000001,11.806362500000002,695.2575499999995,288.308653992,0.0,0.0,288.308653992,571.6573426233751,33663.97427419647
2026/2027,Abia,South,SE,8,4841943,10.53275,0.0,0.0,10.53275,16.3847125,699.8358999999995,509.98975133249996,0.0,0.0,509.98975133249996,793.338439963875,33885.655371536974
2026/2027,Abia,South,SE,9,4841943,13.4906,0.0,0.0,13.4906,19.3425625,702.7937499999995,653.207162358,0.0,0.0,653.207162358,936.555850989375,34028.872782562474
2026/2027,Abia,South,SE,10,4841943,36.78165,0.0,19.4500125,36.78165,42.6336125,726.0847999999995,1780.9465274594997,0.0,941.758518742875,1780.9465274594997,2064.295216090875,35156.612147663975
2026/2027,Abia,South,SE,11,4841943,62.401650000000004,0.0,45.070012500000004,62.401650000000004,68.2536125,751.7047999999995,3021.4523240595,0.0,2182.2643153428753,3021.4523240595,3304.801012690875,36397.11794426398
2026/2027,Abia,South,SE,12,4841943,191.7775,0.0,174.4458625,191.7775,197.62946250000002,881.0806499999995,9285.757236825,0.0,8446.569228108376,9285.757236825,9569.105925456375,42661.42285702947
2026/2027,Abia,South,SE,13,4841943,558.70845,273.78414999999995,541.3768124999999,558.70845,564.5604125,1248.0115999999994,27052.344685183496,13256.472486034498,26213.15667646687,27052.344685183496,27335.693373814873,60428.01030538797
