state,cumulative_cases,cumulative_hospitalizations,cumulative_deaths,population,region,zone,attack_rate_pct,death_rate_per_100k
Abia,595429.791434931,8816.3720194905,648.108596379,4841943,South,SE,12.297331699999999,13.385299999999999
Adamawa,621666.921432968,8591.616438996,990.9614853,5236948,North,NE,11.870786599999999,18.9225
Akwa Ibom,662593.484180849,10557.6329063665,863.0551947525,5780581,South,SS,11.4624029,14.930250000000001
Anambra,850021.39805493,14443.309929600002,898.07142775,7299910,South,SE,11.644272299999999,12.3025
Bauchi,884876.7448864201,10932.886805522501,1453.6399988305002,7540663,North,NE,11.734734000000001,19.277350000000002
Bayelsa,235232.8273734125,4462.53651135,420.50293373750003,2394725,South,SS,9.82295785,17.55955
Benue,794093.62936139,10687.743337308,1132.014619208,6687706,North,NC,11.8739315,16.9268
Borno,720089.25366026,8372.07696622,1434.5184831450001,6651590,North,NE,10.8258214,21.56655
Cross River,445236.92506128,7390.787404800001,689.62771609,4175020,South,SS,10.664306400000001,16.51795
Delta,754067.3231604176,10917.5904037655,779.310271714,6107543,South,SS,12.346492250000002,12.7598
Ebonyi,486508.57835323754,7853.434748215001,631.5376458875,4007155,South,SE,12.14099725,15.760250000000003
Edo,695173.1899922101,11512.628927845,691.5843091,5527810,South,SS,12.575924100000002,12.511
Ekiti,426130.468097679,6757.025198490501,436.0591699055001,3398177,South,SW,12.539972700000002,12.832150000000002
Enugu,634222.459656185,10376.558853501001,722.785742708,5396098,South,SE,11.75335325,13.394599999999999
FCT,597842.7350564731,10660.6238532405,512.1205154125,4802443,North,NC,12.448721100000002,10.66375
Gombe,539658.057870756,7215.6660753060005,951.8413688640001,4623462,North,NE,11.6721638,20.5872
Imo,822229.869545067,11820.477652563,877.5473281110001,6067722,South,SE,13.550882349999998,14.462550000000002
Jigawa,890318.3671981201,9699.431166420001,1530.66578376,6979080,North,NW,12.7569589,21.9322
Kaduna,1076988.0644185375,13409.753030057502,1363.6302608475,8324285,North,NW,12.937904750000001,16.381349999999998
Kano,1820265.590449865,23641.11209148,2589.7673566895,16253549,North,NW,11.1991885,15.933550000000002
Katsina,1063814.1646080131,12976.669548297,1811.960873723,9300382,North,NW,11.438392150000002,19.48265
Kebbi,656167.65242018,9022.013257455,1499.751325315,6001610,North,NW,10.9331938,24.989150000000002
Kogi,587607.256801467,9265.419894654,829.4112434790001,5053734,North,NC,11.627190050000001,16.41185
Kwara,498604.8870586485,7181.468979672,659.8694286690001,4259613,North,NC,11.70540345,15.4913
Lagos,1866455.229692766,37844.661338958,1317.5326598460001,15772884,South,SW,11.83331615,8.353150000000001
Nasarawa,382651.79294826253,6816.693759960501,631.6572588170001,3632239,North,NC,10.534873750000001,17.390300000000003
Niger,806865.9359788126,10662.504173020501,1089.627075444,6720617,North,NC,12.005831250000002,16.2132
Ogun,861995.9189015251,12087.375278512502,915.2612763750001,6445275,South,SW,13.374075100000002,14.2005
Ondo,695160.7360754085,11339.441021445,723.6340315395,5469707,South,SW,12.709286550000002,13.229849999999999
Osun,516759.78777687805,7991.781823450001,667.027572642,4237396,South,SW,12.19522055,15.741449999999999
Oyo,1026832.8600583201,14462.407401382501,1036.5147965025,7512855,South,SW,13.667678400000002,13.796550000000002
Plateau,687370.686446775,9078.953578903,899.4620070379999,5400974,North,NC,12.72679125,16.6537
Rivers,857289.4268472815,13820.136900005,1027.6881222985,7234973,South,SS,11.84924155,14.204450000000001
Sokoto,667291.985218135,8595.436362460501,1218.6623734775,6163187,North,NW,10.8270605,19.77325
Taraba,485488.98722347256,5837.9168028700005,962.6076593325,4331885,North,NE,11.207337850000002,22.22145
Yobe,485662.63200269104,5785.4351498625,971.6642385505,4350401,North,NE,11.163629100000001,22.335050000000003
Zamfara,588013.4630644015,7105.342054098501,1218.516299362,5517793,North,NW,10.65667855,22.0834
